House_ID,Area_sqft,Bedrooms,Bathrooms,Floors,House_Age,Garage,Parking,Location,Furnished,Garden,Condition,Distance_to_City_km,Price
H00001,1028,3,1,2,17,0,0,Suburban,No,No,Excellent,5.6,351659
H00002,3334,6,2,1,0,3,0,Rural,No,Yes,Excellent,10.1,807321
H00003,1435,1,1,3,9,1,0,Suburban,No,No,Average,14.6,340628
H00004,3099,3,5,2,13,2,0,Suburban,No,No,Needs Renovation,11.9,675886
H00005,2086,6,1,2,16,1,2,Suburban,No,Yes,Needs Renovation,12.2,527347
H00006,733,2,5,1,40,2,0,Suburban,Yes,No,Excellent,19.5,317265
H00007,2511,5,4,1,9,3,3,Suburban,Yes,Yes,Good,14.2,692996
H00008,2700,3,3,2,40,3,0,Urban,Yes,No,Excellent,3.4,728441
H00009,4989,4,1,3,40,3,0,Suburban,No,No,Excellent,22.8,1035923
H00010,3992,3,1,3,40,1,3,Urban,Yes,No,Good,22.6,888625
H00011,4849,4,5,2,9,2,3,Suburban,Yes,No,Excellent,19.3,1134900
H00012,3764,4,1,3,8,3,0,Suburban,No,No,Average,13.4,810651
H00013,1899,5,3,3,32,1,2,Rural,Yes,No,Good,26.9,451287
H00014,1360,3,5,1,13,2,2,Suburban,Yes,Yes,Good,15.6,454244
H00015,2190,3,5,1,5,2,0,Suburban,Yes,Yes,Needs Renovation,15.3,582766
H00016,831,3,5,2,21,3,1,Rural,Yes,Yes,Needs Renovation,11.0,287893
H00017,1602,6,1,2,29,2,3,Suburban,No,Yes,Needs Renovation,10.9,426553
H00018,2080,4,1,2,24,2,1,Rural,No,No,Excellent,27.7,445756
H00019,2774,5,5,2,3,3,0,Rural,No,No,Excellent,14.5,683899
H00020,2587,6,4,2,28,2,1,Rural,No,No,Average,28.7,545341
H00021,1610,1,4,3,31,1,3,Rural,Yes,No,Good,10.4,396113
H00022,2409,5,1,2,32,2,4,Urban,No,No,Good,21.0,624524
H00023,2675,3,2,2,22,3,0,Rural,Yes,No,Good,6.7,607698
H00024,4898,2,5,1,19,3,3,Urban,No,Yes,Excellent,13.8,1173714
H00025,2888,2,5,1,40,3,3,Suburban,Yes,Yes,Needs Renovation,23.1,657834
H00026,4837,3,2,2,8,1,1,Urban,Yes,Yes,Good,3.1,1133174
H00027,689,4,3,3,1,0,1,Rural,No,No,Good,9.8,251697
H00028,3260,2,5,1,23,1,3,Urban,No,Yes,Needs Renovation,12.3,771443
H00029,3795,1,4,1,18,1,3,Rural,Yes,Yes,Excellent,14.3,834886
H00030,742,4,5,2,18,2,1,Suburban,Yes,Yes,Excellent,18.2,381490
H00031,1278,6,2,2,11,3,1,Suburban,Yes,Yes,Good,23.9,443476
H00032,3311,1,1,1,14,3,3,Urban,No,Yes,Excellent,5.4,855694
